date,neg,neu,pos,compound
2013-01-04,0.0,0.849,0.151,0.4939
2013-01-07,0.0,1.0,0.0,0.0
2013-01-30,0.115,0.885,0.0,-0.3252
2013-02-17,0.0,1.0,0.0,0.0
2013-02-26,0.0,0.902,0.098,0.2382
2013-03-11,0.0,0.663,0.337,0.7286
2013-03-29,0.0,1.0,0.0,0.0
2013-04-12,0.0,0.716,0.284,0.7615
2013-04-13,0.0,0.9333333333333332,0.06666666666666667,0.15293333333333334
2013-04-14,0.0,1.0,0.0,0.0
2013-04-15,0.0,1.0,0.0,0.0
2013-04-18,0.0,0.885,0.115,0.381
2013-05-09,0.0,1.0,0.0,0.0
2013-05-14,0.0,1.0,0.0,0.0
2013-06-04,0.0,0.823,0.177,0.4215
2013-06-28,0.0,0.663,0.337,0.7269
2013-06-30,0.0,0.808,0.192,0.6166
2013-07-21,0.0,0.856,0.144,0.4927
2013-08-04,0.0,0.94,0.06,0.1027
2013-08-11,0.071,0.929,0.0,-0.0772
2013-08-12,0.0,0.777,0.223,0.3182
2013-08-26,0.0,1.0,0.0,0.0
2013-08-28,0.0,0.857,0.143,0.3612
2013-09-05,0.131,0.869,0.0,-0.3412
2013-09-20,0.0,0.732,0.268,0.296
2013-09-23,0.0,0.717,0.283,0.8176
2013-10-01,0.0,0.764,0.236,0.701
2013-10-02,0.0,0.806,0.194,0.5499
2013-10-05,0.0545,0.8089999999999999,0.1365,0.2958
2013-10-06,0.0,0.819,0.181,0.4939
2013-10-09,0.0,1.0,0.0,0.0
2013-10-10,0.0,0.902,0.098,0.3612
2013-10-13,0.0,1.0,0.0,0.0
2013-10-18,0.0,0.708,0.292,0.6792
2013-10-23,0.0795,0.9205,0.0,-0.2787
2013-10-30,0.0,1.0,0.0,0.0
2013-11-10,0.125,0.795,0.08,-0.2023
2013-11-12,0.0,1.0,0.0,0.0
2013-11-18,0.0,1.0,0.0,0.0
2013-11-19,0.0,0.87,0.13,0.34
2013-11-21,0.086,0.914,0.0,-0.0572
2013-11-23,0.0,1.0,0.0,0.0
2013-11-24,0.04088888888888889,0.8455555555555556,0.11355555555555556,0.2079888888888889
2013-11-27,0.0,0.806,0.194,0.5574
2013-11-30,0.0,0.597,0.403,0.6597
2013-12-08,0.219,0.781,0.0,-0.4215
2013-12-09,0.158,0.842,0.0,-0.128
2013-12-13,0.0,1.0,0.0,0.0
2013-12-16,0.0,0.578,0.422,0.8074
2013-12-17,0.249,0.751,0.0,-0.6486
2013-12-19,0.0,0.9,0.10000000000000002,0.25
2013-12-21,0.0,1.0,0.0,0.0
2013-12-25,0.13,0.607,0.263,0.3182
2013-12-26,0.0,1.0,0.0,0.0
2013-12-27,0.0,0.879,0.121,0.296
2013-12-29,0.0,0.71,0.29,0.6486
2014-01-02,0.07358333333333333,0.8750833333333333,0.051333333333333335,0.05738333333333332
2014-01-03,0.194,0.806,0.0,-0.594
2014-01-07,0.0,1.0,0.0,0.0
2014-01-08,0.11750000000000001,0.822875,0.059625,0.004524999999999996
2014-01-10,0.0,1.0,0.0,0.0
2014-01-12,0.0,1.0,0.0,0.0
2014-01-13,0.0,1.0,0.0,0.0
2014-01-14,0.0,0.9493333333333333,0.050666666666666665,0.0593
2014-01-15,0.0,1.0,0.0,0.0
2014-01-16,0.0,1.0,0.0,0.0
2014-01-18,0.0,1.0,0.0,0.0
2014-01-20,0.0,0.892,0.108,0.2936
2014-01-23,0.0,1.0,0.0,0.0
2014-01-25,0.039,0.9455,0.0155,-0.06849999999999999
2014-01-26,0.0,0.9468333333333333,0.05316666666666667,0.1394
2014-01-27,0.0,0.848,0.152,0.3612
2014-01-28,0.0,1.0,0.0,0.0
2014-02-01,0.042,0.838,0.12,0.112775
2014-02-02,0.0,0.9141999999999999,0.08579999999999999,0.22236000000000003
2014-02-03,0.332,0.607,0.061,-0.7783
2014-02-05,0.038400000000000004,0.9616,0.0,-0.07116
2014-02-06,0.0,0.847,0.153,0.4019
2014-02-07,0.035,0.965,0.0,-0.087275
2014-02-08,0.0,0.7075,0.2925,0.57725
2014-02-09,0.030428571428571426,0.8422857142857143,0.12728571428571428,0.06538571428571428
2014-02-11,0.212,0.7413333333333334,0.046000000000000006,-0.4846
2014-02-12,0.0,1.0,0.0,0.0
2014-02-13,0.0,0.63,0.37,0.875
2014-02-15,0.121,0.879,0.0,-0.296
2014-02-17,0.225,0.529,0.246,0.0836
2014-02-18,0.0,0.847,0.153,0.44040000000000007
2014-02-19,0.0,1.0,0.0,0.0
2014-02-20,0.0,0.913,0.087,0.31845
2014-02-21,0.0,1.0,0.0,0.0
2014-02-23,0.0,0.8661999999999999,0.13379999999999997,0.3675
2014-02-24,0.051916666666666667,0.7969166666666667,0.15116666666666667,0.14139166666666667
2014-02-25,0.043500000000000004,0.8148333333333334,0.1415,0.19736666666666666
2014-02-28,0.051,0.6880000000000001,0.261,0.15586666666666665
2014-03-01,0.0,0.9524000000000001,0.047599999999999996,0.06646
2014-03-02,0.079,0.498,0.423,0.8519
2014-03-03,0.0,0.9383333333333334,0.06166666666666667,0.12193333333333334
2014-03-04,0.0,1.0,0.0,0.0
2014-03-05,0.0,1.0,0.0,0.0
2014-03-06,0.029833333333333333,0.7796666666666666,0.1905,0.45083333333333336
2014-03-07,0.0,1.0,0.0,0.0
2014-03-08,0.0,1.0,0.0,0.0
2014-03-09,0.0,1.0,0.0,0.0
2014-03-11,0.0,0.791,0.209,0.4404
2014-03-12,0.0,1.0,0.0,0.0
2014-03-13,0.0,0.8800000000000001,0.12000000000000002,0.21672000000000002
2014-03-14,0.194,0.547,0.259,0.0772
2014-03-15,0.0,0.847,0.153,0.504
2014-03-20,0.0,0.6880000000000001,0.312,0.7096
2014-03-24,0.063,0.78,0.156,0.4404
